0.000	0.000	0.000
-10.000	0.000	-0.019
-20.000	0.000	-0.041
-30.000	0.000	-0.054
-40.000	0.000	-0.063
-50.000	0.000	-0.044
-60.000	0.000	-0.057
-70.000	0.000	-0.057
-70.000	10.000	-0.146
-60.000	10.000	-0.178
-50.000	10.000	-0.190
-40.000	10.000	-0.190
-30.000	10.000	-0.162
-20.000	10.000	-0.146
-10.000	10.000	-0.108
0.000	10.000	-0.060
0.000	20.000	-0.092
-10.000	20.000	-0.146
-20.000	20.000	-0.190
-30.000	20.000	-0.219
-40.000	20.000	-0.247
-50.000	20.000	-0.247
-60.000	20.000	-0.244
-70.000	20.000	-0.209
-70.000	30.000	-0.260
-60.000	30.000	-0.311
-50.000	30.000	-0.330
-40.000	30.000	-0.324
-30.000	30.000	-0.282
-20.000	30.000	-0.238
-10.000	30.000	-0.187
0.000	30.000	-0.114
0.000	40.000	-0.117
-10.000	40.000	-0.187
-20.000	40.000	-0.244
-30.000	40.000	-0.282
-40.000	40.000	-0.311
-50.000	40.000	-0.324
-60.000	40.000	-0.311
-70.000	40.000	-0.263
-70.000	50.000	-0.254
-60.000	50.000	-0.320
-50.000	50.000	-0.346
-40.000	50.000	-0.339
-30.000	50.000	-0.298
-20.000	50.000	-0.260
-10.000	50.000	-0.200
0.000	50.000	-0.124
